source_video_id,source_video_path,fps,duration_s,notes
IMG_0177.MOV,D:\upload_2025_09_29\IMG_0177.MOV,30,,
IMG_0179.MOV,D:\upload_2025_09_29\IMG_0179.MOV,30,,
IMG_0181.MOV,D:\upload_2025_09_29\IMG_0181.MOV,30,,
IMG_0183.MOV,D:\upload_2025_09_29\IMG_0183.MOV,30,,
IMG_0185.MOV,D:\upload_2025_09_29\IMG_0185.MOV,30,,
IMG_0185.MOV,D:\upload_2025_09_29\IMG_0185.MOV,30,,
IMG_0185.MOV,D:\upload_2025_09_29\IMG_0185.MOV,30,,
IMG_0187.MOV,D:\upload_2025_09_29\IMG_0187.MOV,30,,
IMG_0189.MOV,D:\upload_2025_09_29\IMG_0189.MOV,30,,
IMG_0196.MOV,D:\upload_2025_09_29\IMG_0196.MOV,30,,
IMG_0200.MOV,D:\upload_2025_09_29\IMG_0200.MOV,30,,
IMG_0202.MOV,D:\upload_2025_09_29\IMG_0202.MOV,30,,
IMG_0204.MOV,D:\upload_2025_09_29\IMG_0204.MOV,30,,
IMG_0205.MOV,D:\upload_2025_09_29\IMG_0205.MOV,30,,
IMG_0207.MOV,D:\upload_2025_09_29\IMG_0207.MOV,30,,
IMG_0209.MOV,D:\upload_2025_09_29\IMG_0209.MOV,30,,
IMG_2598.MOV,D:\upload_2025_09_29\IMG_2598.MOV,30,,
IMG_2600.MOV,D:\upload_2025_09_29\IMG_2600.MOV,30,,
IMG_2602.MOV,D:\upload_2025_09_29\IMG_2602.MOV,30,,
IMG_2604.MOV,D:\upload_2025_09_29\IMG_2604.MOV,30,,
IMG_2606.MOV,D:\upload_2025_09_29\IMG_2606.MOV,30,,
IMG_2608.MOV,D:\upload_2025_09_29\IMG_2608.MOV,30,,
IMG_2610.MOV,D:\upload_2025_09_29\IMG_2610.MOV,30,,
IMG_2612.MOV,D:\upload_2025_09_29\IMG_2612.MOV,30,,
IMG_2613.MOV,D:\upload_2025_09_29\IMG_2613.MOV,30,,
IMG_2615.MOV,D:\upload_2025_09_29\IMG_2615.MOV,30,,
IMG_2617.MOV,D:\upload_2025_09_29\IMG_2617.MOV,30,,
IMG_2618.MOV,D:\upload_2025_09_29\IMG_2618.MOV,30,,
IMG_2621.MOV,D:\upload_2025_09_29\IMG_2621.MOV,30,,
IMG_2622.MOV,D:\upload_2025_09_29\IMG_2622.MOV,30,,
IMG_2624.MOV,D:\upload_2025_09_29\IMG_2624.MOV,30,,
IMG_2625.MOV,D:\upload_2025_09_29\IMG_2625.MOV,30,,
IMG_2626.MOV,D:\upload_2025_09_29\IMG_2626.MOV,30,,
IMG_2628.MOV,D:\upload_2025_09_29\IMG_2628.MOV,30,,
IMG_2631.MOV,D:\upload_2025_09_29\IMG_2631.MOV,30,,
IMG_2633.MOV,D:\upload_2025_09_29\IMG_2633.MOV,30,,
IMG_2635.MOV,D:\upload_2025_09_29\IMG_2635.MOV,30,,
IMG_2636.MOV,D:\upload_2025_09_29\IMG_2636.MOV,30,,
IMG_2638.MOV,D:\upload_2025_09_29\IMG_2638.MOV,30,,
IMG_2638.MOV,D:\upload_2025_09_29\IMG_2638.MOV,30,,
IMG_2638.MOV,D:\upload_2025_09_29\IMG_2638.MOV,30,,
IMG_2644.MOV,D:\upload_2025_09_29\IMG_2644.MOV,30,,
IMG_2645.MOV,D:\upload_2025_09_29\IMG_2645.MOV,30,,
IMG_2647.MOV,D:\upload_2025_09_29\IMG_2647.MOV,30,,
IMG_2648.MOV,D:\upload_2025_09_29\IMG_2648.MOV,30,,
IMG_2650.MOV,D:\upload_2025_09_29\IMG_2650.MOV,30,,
IMG_2652.MOV,D:\upload_2025_09_29\IMG_2652.MOV,30,,
IMG_2654.MOV,D:\upload_2025_09_29\IMG_2654.MOV,30,,
IMG_2655.MOV,D:\upload_2025_09_29\IMG_2655.MOV,30,,
IMG_2655.MOV,D:\upload_2025_09_29\IMG_2655.MOV,30,,
IMG_2658.MOV,D:\upload_2025_09_29\IMG_2658.MOV,30,,
IMG_2659.MOV,D:\upload_2025_09_29\IMG_2659.MOV,30,,
IMG_2663.MOV,D:\upload_2025_09_29\IMG_2663.MOV,30,,
IMG_2666.MOV,D:\upload_2025_09_29\IMG_2666.MOV,30,,
IMG_2667.MOV,D:\upload_2025_09_29\IMG_2667.MOV,30,,
IMG_2669.MOV,D:\upload_2025_09_29\IMG_2669.MOV,30,,
IMG_2675.MOV,D:\upload_2025_09_29\IMG_2675.MOV,30,,
IMG_2677.MOV,D:\upload_2025_09_29\IMG_2677.MOV,30,,
IMG_2678.MOV,D:\upload_2025_09_29\IMG_2678.MOV,30,,
IMG_2678.MOV,D:\upload_2025_09_29\IMG_2678.MOV,30,,
IMG_2680.MOV,D:\upload_2025_09_29\IMG_2680.MOV,30,,
IMG_2681.MOV,D:\upload_2025_09_29\IMG_2681.MOV,30,,
IMG_2685.MOV,D:\upload_2025_09_29\IMG_2685.MOV,30,,
IMG_2687.MOV,D:\upload_2025_09_29\IMG_2687.MOV,30,,
IMG_4559.MOV,D:\upload_2025_09_29\IMG_4559.MOV,30,,
IMG_4560.MOV,D:\upload_2025_09_29\IMG_4560.MOV,30,,
IMG_4561.MOV,D:\upload_2025_09_29\IMG_4561.MOV,30,,
IMG_4564.MOV,D:\upload_2025_09_29\IMG_4564.MOV,30,,
IMG_4566.MOV,D:\upload_2025_09_29\IMG_4566.MOV,30,,
IMG_4567.MOV,D:\upload_2025_09_29\IMG_4567.MOV,30,,
IMG_4567.MOV,D:\upload_2025_09_29\IMG_4567.MOV,30,,
IMG_4570_1.MOV,D:\upload_2025_09_29\IMG_4570_1.MOV,30,,
IMG_4571.MOV,D:\upload_2025_09_29\IMG_4571.MOV,30,,
IMG_4572.MOV,D:\upload_2025_09_29\IMG_4572.MOV,30,,
IMG_4577.MOV,D:\upload_2025_09_29\IMG_4577.MOV,30,,
IMG_4579.MOV,D:\upload_2025_09_29\IMG_4579.MOV,30,,
IMG_4581.MOV,D:\upload_2025_09_29\IMG_4581.MOV,30,,
IMG_4583.MOV,D:\upload_2025_09_29\IMG_4583.MOV,30,,
IMG_4585.MOV,D:\upload_2025_09_29\IMG_4585.MOV,30,,
IMG_4587.MOV,D:\upload_2025_09_29\IMG_4587.MOV,30,,
IMG_4587.MOV,D:\upload_2025_09_29\IMG_4587.MOV,30,,
IMG_4588.MOV,D:\upload_2025_09_29\IMG_4588.MOV,30,,
IMG_4590.MOV,D:\upload_2025_09_29\IMG_4590.MOV,30,,
IMG_4592.MOV,D:\upload_2025_09_29\IMG_4592.MOV,30,,
IMG_4594.MOV,D:\upload_2025_09_29\IMG_4594.MOV,30,,
IMG_4596.MOV,D:\upload_2025_09_29\IMG_4596.MOV,30,,
IMG_4597.MOV,D:\upload_2025_09_29\IMG_4597.MOV,30,,
IMG_4600.MOV,D:\upload_2025_09_29\IMG_4600.MOV,30,,
IMG_4611.MOV,D:\upload_2025_09_29\IMG_4611.MOV,30,,
IMG_4613.MOV,D:\upload_2025_09_29\IMG_4613.MOV,30,,
IMG_5618.MOV,D:\upload_2025_09_29\IMG_5618.MOV,30,,
IMG_5618.MOV,D:\upload_2025_09_29\IMG_5618.MOV,30,,
IMG_5620.MOV,D:\upload_2025_09_29\IMG_5620.MOV,30,,
IMG_5622.MOV,D:\upload_2025_09_29\IMG_5622.MOV,30,,
IMG_5623.MOV,D:\upload_2025_09_29\IMG_5623.MOV,30,,
IMG_5628.MOV,D:\upload_2025_09_29\IMG_5628.MOV,30,,
IMG_5632.MOV,D:\upload_2025_09_29\IMG_5632.MOV,30,,
IMG_5634.MOV,D:\upload_2025_09_29\IMG_5634.MOV,30,,
IMG_5635.MOV,D:\upload_2025_09_29\IMG_5635.MOV,30,,
IMG_5636.MOV,D:\upload_2025_09_29\IMG_5636.MOV,30,,
IMG_5638.MOV,D:\upload_2025_09_29\IMG_5638.MOV,30,,
IMG_5638.MOV,D:\upload_2025_09_29\IMG_5638.MOV,30,,
IMG_5645.MOV,D:\upload_2025_09_29\IMG_5645.MOV,30,,
IMG_5652.MOV,D:\upload_2025_09_29\IMG_5652.MOV,30,,
IMG_5652.MOV,D:\upload_2025_09_29\IMG_5652.MOV,30,,
IMG_5656.MOV,D:\upload_2025_09_29\IMG_5656.MOV,30,,
IMG_5658.MOV,D:\upload_2025_09_29\IMG_5658.MOV,30,,
IMG_5659.MOV,D:\upload_2025_09_29\IMG_5659.MOV,30,,
IMG_5660.MOV,D:\upload_2025_09_29\IMG_5660.MOV,30,,
IMG_5662.MOV,D:\upload_2025_09_29\IMG_5662.MOV,30,,
IMG_5662.MOV,D:\upload_2025_09_29\IMG_5662.MOV,30,,
IMG_5667.MOV,D:\upload_2025_09_29\IMG_5667.MOV,30,,
IMG_5669.MOV,D:\upload_2025_09_29\IMG_5669.MOV,30,,
IMG_5671.MOV,D:\upload_2025_09_29\IMG_5671.MOV,30,,
IMG_5673.MOV,D:\upload_2025_09_29\IMG_5673.MOV,30,,
IMG_5675.MOV,D:\upload_2025_09_29\IMG_5675.MOV,30,,
IMG_5676.MOV,D:\upload_2025_09_29\IMG_5676.MOV,30,,
IMG_5678.MOV,D:\upload_2025_09_29\IMG_5678.MOV,30,,
IMG_5680.MOV,D:\upload_2025_09_29\IMG_5680.MOV,30,,
IMG_5682.MOV,D:\upload_2025_09_29\IMG_5682.MOV,30,,
IMG_5684.MOV,D:\upload_2025_09_29\IMG_5684.MOV,30,,
IMG_5686.MOV,D:\upload_2025_09_29\IMG_5686.MOV,30,,
IMG_3689.MOV,D:\upload_2025_09_29\IMG_3689.MOV,30,,
IMG_3692.MOV,D:\upload_2025_09_29\IMG_3692.MOV,30,,
IMG_3694.MOV,D:\upload_2025_09_29\IMG_3694.MOV,30,,
IMG_3695.MOV,D:\upload_2025_09_29\IMG_3695.MOV,30,,
IMG_3696.MOV,D:\upload_2025_09_29\IMG_3696.MOV,30,,
IMG_3697.MOV,D:\upload_2025_09_29\IMG_3697.MOV,30,,
IMG_3698.MOV,D:\upload_2025_09_29\IMG_3698.MOV,30,,
IMG_3700.MOV,D:\upload_2025_09_29\IMG_3700.MOV,30,,
IMG_3702.MOV,D:\upload_2025_09_29\IMG_3702.MOV,30,,
IMG_3704.MOV,D:\upload_2025_09_29\IMG_3704.MOV,30,,
IMG_3706.MOV,D:\upload_2025_09_29\IMG_3706.MOV,30,,
IMG_3707.MOV,D:\upload_2025_09_29\IMG_3707.MOV,30,,
IMG_3709.MOV,D:\upload_2025_09_29\IMG_3709.MOV,30,,
IMG_3713.MOV,D:\upload_2025_09_29\IMG_3713.MOV,30,,
IMG_3714.MOV,D:\upload_2025_09_29\IMG_3714.MOV,30,,
IMG_3716.MOV,D:\upload_2025_09_29\IMG_3716.MOV,30,,
IMG_3717.MOV,D:\upload_2025_09_29\IMG_3717.MOV,30,,
IMG_3719.MOV,D:\upload_2025_09_29\IMG_3719.MOV,30,,
IMG_3726.MOV,D:\upload_2025_09_29\IMG_3726.MOV,30,,
IMG_3730.MOV,D:\upload_2025_09_29\IMG_3730.MOV,30,,
IMG_3731.MOV,D:\upload_2025_09_29\IMG_3731.MOV,30,,
IMG_3733.MOV,D:\upload_2025_09_29\IMG_3733.MOV,30,,
IMG_3734.MOV,D:\upload_2025_09_29\IMG_3734.MOV,30,,
IMG_1525.MOV,D:\upload_2025_09_29\IMG_1525.MOV,30,,
IMG_1531.MOV,D:\upload_2025_09_29\IMG_1531.MOV,30,,
IMG_1540.MOV,D:\upload_2025_09_29\IMG_1540.MOV,30,,
IMG_1543.MOV,D:\upload_2025_09_29\IMG_1543.MOV,30,,
IMG_1552.MOV,D:\upload_2025_09_29\IMG_1552.MOV,30,,
IMG_1553.MOV,D:\upload_2025_09_29\IMG_1553.MOV,30,,
IMG_1555.MOV,D:\upload_2025_09_29\IMG_1555.MOV,30,,
IMG_5045.MOV,D:\upload_2025_09_29\IMG_5045.MOV,30,,
IMG_5045.MOV,D:\upload_2025_09_29\IMG_5045.MOV,30,,
IMG_5047.MOV,D:\upload_2025_09_29\IMG_5047.MOV,30,,
IMG_5053.MOV,D:\upload_2025_09_29\IMG_5053.MOV,30,,
IMG_5056.MOV,D:\upload_2025_09_29\IMG_5056.MOV,30,,
IMG_5057.MOV,D:\upload_2025_09_29\IMG_5057.MOV,30,,
IMG_5059.MOV,D:\upload_2025_09_29\IMG_5059.MOV,30,,
IMG_5060.MOV,D:\upload_2025_09_29\IMG_5060.MOV,30,,
IMG_5063.MOV,D:\upload_2025_09_29\IMG_5063.MOV,30,,
IMG_5063.MOV,D:\upload_2025_09_29\IMG_5063.MOV,30,,
IMG_5065.MOV,D:\upload_2025_09_29\IMG_5065.MOV,30,,
IMG_5066.MOV,D:\upload_2025_09_29\IMG_5066.MOV,30,,
IMG_5069.MOV,D:\upload_2025_09_29\IMG_5069.MOV,30,,
IMG_5071.MOV,D:\upload_2025_09_29\IMG_5071.MOV,30,,
IMG_5074.MOV,D:\upload_2025_09_29\IMG_5074.MOV,30,,
IMG_5078.MOV,D:\upload_2025_09_29\IMG_5078.MOV,30,,
IMG_5081.MOV,D:\upload_2025_09_29\IMG_5081.MOV,30,,
IMG_5083.MOV,D:\upload_2025_09_29\IMG_5083.MOV,30,,
IMG_5086.MOV,D:\upload_2025_09_29\IMG_5086.MOV,30,,
IMG_5088.MOV,D:\upload_2025_09_29\IMG_5088.MOV,30,,
IMG_5091.MOV,D:\upload_2025_09_29\IMG_5091.MOV,30,,
IMG_5094.MOV,D:\upload_2025_09_29\IMG_5094.MOV,30,,
IMG_5100.MOV,D:\upload_2025_09_29\IMG_5100.MOV,30,,
IMG_5103.MOV,D:\upload_2025_09_29\IMG_5103.MOV,30,,
IMG_5107.MOV,D:\upload_2025_09_29\IMG_5107.MOV,30,,
IMG_5111.MOV,D:\upload_2025_09_29\IMG_5111.MOV,30,,
IMG_5113.MOV,D:\upload_2025_09_29\IMG_5113.MOV,30,,
IMG_2070.MOV,D:\upload_2025_09_29\IMG_2070.MOV,30,,
IMG_2071.MOV,D:\upload_2025_09_29\IMG_2071.MOV,30,,
IMG_2073.MOV,D:\upload_2025_09_29\IMG_2073.MOV,30,,
IMG_2077.MOV,D:\upload_2025_09_29\IMG_2077.MOV,30,,
IMG_2078.MOV,D:\upload_2025_09_29\IMG_2078.MOV,30,,
IMG_2081.MOV,D:\upload_2025_09_29\IMG_2081.MOV,30,,
IMG_2084.MOV,D:\upload_2025_09_29\IMG_2084.MOV,30,,
IMG_2088.MOV,D:\upload_2025_09_29\IMG_2088.MOV,30,,
IMG_2093.MOV,D:\upload_2025_09_29\IMG_2093.MOV,30,,
IMG_2096.MOV,D:\upload_2025_09_29\IMG_2096.MOV,30,,
IMG_2098.MOV,D:\upload_2025_09_29\IMG_2098.MOV,30,,
IMG_2102.MOV,D:\upload_2025_09_29\IMG_2102.MOV,30,,
IMG_6444.MOV,D:\upload_2025_09_29\IMG_6444.MOV,30,,
IMG_6421.MOV,D:\upload_2025_09_29\IMG_6421.MOV,30,,
IMG_6394.MOV,D:\upload_2025_09_29\IMG_6394.MOV,30,,
IMG_6391.MOV,D:\upload_2025_09_29\IMG_6391.MOV,30,,
IMG_6471.MOV,D:\upload_2025_09_29\IMG_6471.MOV,30,,
IMG_6462.MOV,D:\upload_2025_09_29\IMG_6462.MOV,30,,
IMG_0077.MOV,D:\upload_2025_09_29\IMG_0077.MOV,30,,
IMG_0131.MOV,D:\upload_2025_09_29\IMG_0131.MOV,30,,
IMG_0135.MOV,D:\upload_2025_09_29\IMG_0135.MOV,30,,
